"pathway_id","compound_id","compound_name"
"hsa00380","C05641","5-(3'-Carboxy-3'-oxopropenyl)-4,6-dihydroxypicolinate"
"hsa00380","C05642","Formyl-N-acetyl-5-methoxykynurenamine"
"hsa00380","C05643","6-Hydroxymelatonin"
"hsa00380","C05644","3-Methylindolepyruvate"
"hsa00380","C05645","4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate"
"hsa00380","C05646","5-Hydroxyindolepyruvate"
"hsa00380","C05647","Formyl-5-hydroxykynurenamine"
"hsa00380","C05648","5-Hydroxy-N-formylkynurenine"
"hsa00380","C05651","5-Hydroxykynurenine"
"hsa00380","C05652","4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate"
"hsa00380","C05653","Formylanthranilate"
"hsa00380","C05654","5-(2'-Formylethyl)-4,6-dihydroxypicolinate"
"hsa00380","C05655","5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate"
"hsa00380","C05656","5-(3'-Carboxy-3'-oxopropyl)-4,6-dihydroxypicolinate"
"hsa00380","C05658","Indoxyl"
"hsa00380","C05659","5-Methoxytryptamine"
"hsa00380","C05660","5-Methoxyindoleacetate"
"hsa00380","C05663","6-Hydroxykynurenate"
"hsa00380","C05830","8-Methoxykynurenate"
"hsa00380","C05831","3-Methoxyanthranilate"
"hsa00380","C05832","5-Hydroxyindoleacetylglycine"
"hsa00380","C05834","3-Methyldioxyindole"
"hsa00380","C05835","2-Formaminobenzoylacetate"
"hsa00380","C05837","Glucobrassicin"
"hsa00380","C06212","N-Methylserotonin"
"hsa00380","C06213","N-Methyltryptamine"
"hsa00380","C08313","Skatole"
"hsa00380","C10164","Picolinic acid"
"hsa00380","C16516","Indolylmethylthiohydroximate"
"hsa00380","C16517","Indolylmethyl-desulfoglucosinolate"
"hsa00380","C16518","S-(Indolylmethylthiohydroximoyl)-L-cysteine"
"hsa00380","C17203","N-Hydroxyl-tryptamine"
"hsa00380","C22006","(R)-(Indol-3-yl)lactate"
"hsa00380","C22202","2-Oxoindole-3-acetate"
"hsa00380","C23064","Didemethylasterriquinone D"
"hsa05143","C00076","Calcium cation"
"hsa05143","C00078","L-Tryptophan"
"hsa05143","C00165","Diacylglycerol"
"hsa05143","C00328","L-Kynurenine"
"hsa05143","C00533","Nitric oxide"
"hsa05143","C00584","Prostaglandin E2"
"hsa05143","C00696","Prostaglandin D2"
"hsa05143","C01245","D-myo-Inositol 1,4,5-trisphosphate"
"hsa05200","C00027","Hydrogen peroxide"
"hsa05200","C00039","DNA"
"hsa05200","C00076","Calcium cation"
"hsa05200","C00122","Fumarate"
"hsa05200","C00149","(S)-Malate"
"hsa05200","C00165","Diacylglycerol"
"hsa05200","C00187","Cholesterol"
"hsa05200","C00280","Androstenedione"
"hsa05200","C00410","Progesterone"
"hsa05200","C00416","Phosphatidate"
"hsa05200","C00533","Nitric oxide"
"hsa05200","C00535","Testosterone"
"hsa05200","C00575","3',5'-Cyclic AMP"
"hsa05200","C00584","Prostaglandin E2"
"hsa05200","C00681","1-Acyl-sn-glycerol 3-phosphate"
"hsa05200","C00704","Superoxide"
"hsa05200","C00735","Cortisol"
"hsa05200","C00762","Cortisone"
"hsa05200","C00777","Retinoate"
"hsa05200","C00951","Estradiol-17beta"
"hsa05200","C01227","Dehydroepiandrosterone"
"hsa05200","C01245","D-myo-Inositol 1,4,5-trisphosphate"
"hsa05200","C01471","Acrolein"
"hsa05200","C03917","Dihydrotestosterone"
"hsa05200","C05981","Phosphatidylinositol-3,4,5-trisphosphate"
"hsa05200","C07653","Flutamide"
"hsa05200","C15493","9-cis-Retinoic acid"
"hsa05200","C16038","2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine"
"hsa05200","C16844","Hydroxyl radical"
"hsa05200","C21641","Hydroperoxyl radical"
"hsa05200","C21642","4-Hydroxynonenal"
"hsa04962","C00001","H2O"
"hsa04962","C00575","3',5'-Cyclic AMP"
"hsa04976","C00001","H2O"
"hsa04976","C00011","CO2"
"hsa04976","C00024","Acetyl-CoA"
"hsa04976","C00026","2-Oxoglutarate"
"hsa04976","C00031","D-Glucose"
"hsa04976","C00051","Glutathione"
"hsa04976","C00080","H+"
"hsa04976","C00114","Choline"
"hsa04976","C00187","Cholesterol"
"hsa04976","C00238","Potassium cation"
"hsa04976","C00288","HCO3-"
"hsa04976","C00315","Spermidine"
"hsa04976","C00318","L-Carnitine"
"hsa04976","C00366","Urate"
"hsa04976","C00486","Bilirubin"
"hsa04976","C00504","Folate"
"hsa04976","C00575","3',5'-Cyclic AMP"
"hsa04976","C00584","Prostaglandin E2"
"hsa04976","C00639","Prostaglandin F2alpha"
"hsa04976","C00695","Cholic acid"
"hsa04976","C00698","Cl-"
"hsa04976","C00735","Cortisol"
"hsa04976","C00750","Spermine"
"hsa04976","C00780","Serotonin"
"hsa04976","C00805","Salicylate"
"hsa04976","C00865","Phospholipid"
"hsa04976","C00942","3',5'-Cyclic GMP"
"hsa04976","C01330","Sodium cation"
"hsa04976","C01353","Carbonic acid"
"hsa04976","C01405","Aspirin"
"hsa04976","C01443","Ouabain"
"hsa04976","C01576","Etoposide"
"hsa04976","C01829","Thyroxine"
"hsa04976","C01844","Pravastatin"
"hsa04976","C01921","Glycocholate"
"hsa04976","C01937","Methotrexate"
